date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
11/2/2000,1999-2000 Clausura,,1,Belgrano (Córdoba),Lanús,2,4,False,,
11/2/2000,1999-2000 Clausura,,1,Racing,Talleres (Córdoba),3,1,False,,
11/2/2000,1999-2000 Clausura,,1,Instituto (Córdoba),River Plate,1,2,False,,
11/2/2000,1999-2000 Clausura,,1,Estudiantes (La Plata),Argentinos Juniors,1,1,False,,
11/2/2000,1999-2000 Clausura,,1,Independiente,Boca Juniors,1,3,False,,
11/2/2000,1999-2000 Clausura,,1,San Lorenzo de Almagro,Newell's Old Boys,1,0,False,,
11/2/2000,1999-2000 Clausura,,1,Colón (Santa Fe),Vélez Sarsfield,1,0,False,,
11/2/2000,1999-2000 Clausura,,1,Chacarita Juniors,Gimnasia y Esgrima (LP),1,2,False,,
11/2/2000,1999-2000 Clausura,,1,Rosario Central,Gimnasia y Esgrima (Jujuy),2,0,False,,
11/2/2000,1999-2000 Clausura,,1,Ferro Carril Oeste,Unión (Santa Fe),2,3,False,,
18/2/2000,1999-2000 Clausura,,2,Talleres (Córdoba),Chacarita Juniors,1,0,False,,
18/2/2000,1999-2000 Clausura,,2,Gimnasia y Esgrima (LP),Ferro Carril Oeste,2,0,False,,
18/2/2000,1999-2000 Clausura,,2,Unión (Santa Fe),San Lorenzo de Almagro,0,1,False,,
18/2/2000,1999-2000 Clausura,,2,Newell's Old Boys,Instituto (Córdoba),4,0,False,,
18/2/2000,1999-2000 Clausura,,2,Racing,Boca Juniors,1,1,False,,
18/2/2000,1999-2000 Clausura,,2,River Plate,Rosario Central,1,1,False,,
18/2/2000,1999-2000 Clausura,,2,Gimnasia y Esgrima (Jujuy),Colón (Santa Fe),0,2,False,,
18/2/2000,1999-2000 Clausura,,2,Vélez Sarsfield,Estudiantes (La Plata),3,0,False,,
18/2/2000,1999-2000 Clausura,,2,Argentinos Juniors,Belgrano (Córdoba),0,2,False,,
18/2/2000,1999-2000 Clausura,,2,Lanús,Independiente,1,2,False,,
28/2/2000,1999-2000 Clausura,,3,Boca Juniors,Lanús,1,1,False,,
28/2/2000,1999-2000 Clausura,,3,Independiente,Argentinos Juniors,8,1,False,,
28/2/2000,1999-2000 Clausura,,3,Belgrano (Córdoba),Vélez Sarsfield,2,3,False,,
28/2/2000,1999-2000 Clausura,,3,Estudiantes (La Plata),Gimnasia y Esgrima (Jujuy),5,1,False,,
28/2/2000,1999-2000 Clausura,,3,Colón (Santa Fe),River Plate,1,4,False,,
28/2/2000,1999-2000 Clausura,,3,Rosario Central,Newell's Old Boys,1,1,False,,
28/2/2000,1999-2000 Clausura,,3,Instituto (Córdoba),Unión (Santa Fe),1,1,False,,
28/2/2000,1999-2000 Clausura,,3,San Lorenzo de Almagro,Gimnasia y Esgrima (LP),1,1,False,,
28/2/2000,1999-2000 Clausura,,3,Ferro Carril Oeste,Talleres (Córdoba),0,3,False,,
28/2/2000,1999-2000 Clausura,,3,Chacarita Juniors,Racing,1,1,False,,
3/3/2000,1999-2000 Clausura,,4,Racing,Ferro Carril Oeste,0,2,False,,
3/3/2000,1999-2000 Clausura,,4,Talleres (Córdoba),San Lorenzo de Almagro,1,2,False,,
3/3/2000,1999-2000 Clausura,,4,Gimnasia y Esgrima (LP),Instituto (Córdoba),1,0,False,,
3/3/2000,1999-2000 Clausura,,4,Chacarita Juniors,Boca Juniors,0,4,False,,
3/3/2000,1999-2000 Clausura,,4,Unión (Santa Fe),Rosario Central,0,0,False,,
3/3/2000,1999-2000 Clausura,,4,Newell's Old Boys,Colón (Santa Fe),3,3,False,,
3/3/2000,1999-2000 Clausura,,4,River Plate,Estudiantes (La Plata),2,2,False,,
3/3/2000,1999-2000 Clausura,,4,Gimnasia y Esgrima (Jujuy),Belgrano (Córdoba),1,1,False,,
3/3/2000,1999-2000 Clausura,,4,Vélez Sarsfield,Independiente,0,0,False,,
3/3/2000,1999-2000 Clausura,,4,Argentinos Juniors,Lanús,0,1,False,,
10/3/2000,1999-2000 Clausura,,5,Ferro Carril Oeste,Chacarita Juniors,1,0,False,,
10/3/2000,1999-2000 Clausura,,5,Boca Juniors,Argentinos Juniors,1,0,False,,
10/3/2000,1999-2000 Clausura,,5,Independiente,Gimnasia y Esgrima (Jujuy),4,2,False,,
10/3/2000,1999-2000 Clausura,,5,Belgrano (Córdoba),River Plate,0,1,False,,
10/3/2000,1999-2000 Clausura,,5,Estudiantes (La Plata),Newell's Old Boys,1,3,False,,
10/3/2000,1999-2000 Clausura,,5,Colón (Santa Fe),Unión (Santa Fe),4,0,False,,
10/3/2000,1999-2000 Clausura,,5,Rosario Central,Gimnasia y Esgrima (LP),4,2,False,,
10/3/2000,1999-2000 Clausura,,5,Instituto (Córdoba),Talleres (Córdoba),2,0,False,,
10/3/2000,1999-2000 Clausura,,5,San Lorenzo de Almagro,Racing,1,0,False,,
20/4/2000,1999-2000 Clausura,,5,Lanús,Vélez Sarsfield,0,2,False,,
17/3/2000,1999-2000 Clausura,,6,Racing,Instituto (Córdoba),1,2,False,,
17/3/2000,1999-2000 Clausura,,6,Vélez Sarsfield,Argentinos Juniors,3,3,False,,
17/3/2000,1999-2000 Clausura,,6,Gimnasia y Esgrima (Jujuy),Lanús,1,1,False,,
17/3/2000,1999-2000 Clausura,,6,Chacarita Juniors,San Lorenzo de Almagro,0,0,False,,
17/3/2000,1999-2000 Clausura,,6,Ferro Carril Oeste,Boca Juniors,0,4,False,,
17/3/2000,1999-2000 Clausura,,6,Talleres (Córdoba),Rosario Central,3,1,False,,
17/3/2000,1999-2000 Clausura,,6,Gimnasia y Esgrima (LP),Colón (Santa Fe),6,6,False,,
17/3/2000,1999-2000 Clausura,,6,Newell's Old Boys,Belgrano (Córdoba),0,1,False,,
17/3/2000,1999-2000 Clausura,,6,River Plate,Independiente,2,0,False,,
17/3/2000,1999-2000 Clausura,,6,Unión (Santa Fe),Estudiantes (La Plata),2,1,False,,
31/3/2000,1999-2000 Clausura,,7,San Lorenzo de Almagro,Ferro Carril Oeste,4,0,False,,
31/3/2000,1999-2000 Clausura,,7,Rosario Central,Racing,1,1,False,,
31/3/2000,1999-2000 Clausura,,7,Argentinos Juniors,Gimnasia y Esgrima (Jujuy),1,0,False,,
31/3/2000,1999-2000 Clausura,,7,Lanús,River Plate,1,1,False,,
31/3/2000,1999-2000 Clausura,,7,Estudiantes (La Plata),Gimnasia y Esgrima (LP),1,2,False,,
31/3/2000,1999-2000 Clausura,,7,Independiente,Newell's Old Boys,1,2,False,,
31/3/2000,1999-2000 Clausura,,7,Belgrano (Córdoba),Unión (Santa Fe),3,1,False,,
31/3/2000,1999-2000 Clausura,,7,Colón (Santa Fe),Talleres (Córdoba),0,1,False,,
31/3/2000,1999-2000 Clausura,,7,Boca Juniors,Vélez Sarsfield,0,0,False,,
31/3/2000,1999-2000 Clausura,,7,Instituto (Córdoba),Chacarita Juniors,1,3,False,,
7/4/2000,1999-2000 Clausura,,8,Newell's Old Boys,Lanús,3,2,False,,
7/4/2000,1999-2000 Clausura,,8,Gimnasia y Esgrima (Jujuy),Vélez Sarsfield,1,3,False,,
7/4/2000,1999-2000 Clausura,,8,Ferro Carril Oeste,Instituto (Córdoba),1,1,False,,
7/4/2000,1999-2000 Clausura,,8,San Lorenzo de Almagro,Boca Juniors,0,1,False,,
7/4/2000,1999-2000 Clausura,,8,Racing,Colón (Santa Fe),1,3,False,,
7/4/2000,1999-2000 Clausura,,8,Talleres (Córdoba),Estudiantes (La Plata),1,1,False,,
7/4/2000,1999-2000 Clausura,,8,Gimnasia y Esgrima (LP),Belgrano (Córdoba),1,3,False,,
7/4/2000,1999-2000 Clausura,,8,Unión (Santa Fe),Independiente,3,1,False,,
22/4/2000,1999-2000 Clausura,,8,River Plate,Argentinos Juniors,2,2,False,,
22/4/2000,1999-2000 Clausura,,8,Chacarita Juniors,Rosario Central,1,0,False,,
11/4/2000,1999-2000 Clausura,,9,Independiente,Gimnasia y Esgrima (LP),2,0,False,,
11/4/2000,1999-2000 Clausura,,9,Argentinos Juniors,Newell's Old Boys,1,4,False,,
11/4/2000,1999-2000 Clausura,,9,Instituto (Córdoba),San Lorenzo de Almagro,1,0,False,,
11/4/2000,1999-2000 Clausura,,9,Vélez Sarsfield,River Plate,2,3,False,,
11/4/2000,1999-2000 Clausura,,9,Estudiantes (La Plata),Racing,2,2,False,,
11/4/2000,1999-2000 Clausura,,9,Belgrano (Córdoba),Talleres (Córdoba),0,0,False,,
11/4/2000,1999-2000 Clausura,,9,Rosario Central,Ferro Carril Oeste,4,2,False,,
11/4/2000,1999-2000 Clausura,,9,Lanús,Unión (Santa Fe),5,2,False,,
11/4/2000,1999-2000 Clausura,,9,Colón (Santa Fe),Chacarita Juniors,1,0,False,,
22/4/2000,1999-2000 Clausura,,9,Boca Juniors,Gimnasia y Esgrima (Jujuy),0,1,False,,
14/4/2000,1999-2000 Clausura,,10,Racing,Belgrano (Córdoba),0,0,False,,
14/4/2000,1999-2000 Clausura,,10,Talleres (Córdoba),Independiente,0,4,False,,
14/4/2000,1999-2000 Clausura,,10,Gimnasia y Esgrima (LP),Lanús,2,1,False,,
14/4/2000,1999-2000 Clausura,,10,Newell's Old Boys,Vélez Sarsfield,1,1,False,,
14/4/2000,1999-2000 Clausura,,10,Instituto (Córdoba),Boca Juniors,2,2,False,,
14/4/2000,1999-2000 Clausura,,10,Chacarita Juniors,Estudiantes (La Plata),3,1,False,,
14/4/2000,1999-2000 Clausura,,10,Unión (Santa Fe),Argentinos Juniors,2,1,False,,
14/4/2000,1999-2000 Clausura,,10,San Lorenzo de Almagro,Rosario Central,1,0,False,,
14/4/2000,1999-2000 Clausura,,10,River Plate,Gimnasia y Esgrima (Jujuy),2,0,False,,
14/4/2000,1999-2000 Clausura,,10,Ferro Carril Oeste,Colón (Santa Fe),0,2,False,,
12/5/2000,1999-2000 Clausura,,11,Vélez Sarsfield,Unión (Santa Fe),0,2,False,,
12/5/2000,1999-2000 Clausura,,11,Colón (Santa Fe),San Lorenzo de Almagro,2,1,False,,
12/5/2000,1999-2000 Clausura,,11,Belgrano (Córdoba),Chacarita Juniors,3,3,False,,
12/5/2000,1999-2000 Clausura,,11,Estudiantes (La Plata),Ferro Carril Oeste,2,0,False,,
12/5/2000,1999-2000 Clausura,,11,Rosario Central,Instituto (Córdoba),3,3,False,,
12/5/2000,1999-2000 Clausura,,11,Gimnasia y Esgrima (Jujuy),Newell's Old Boys,3,0,False,,
12/5/2000,1999-2000 Clausura,,11,Independiente,Racing,2,1,False,,
12/5/2000,1999-2000 Clausura,,11,Lanús,Talleres (Córdoba),0,0,False,,
12/5/2000,1999-2000 Clausura,,11,Boca Juniors,River Plate,1,1,False,,
12/5/2000,1999-2000 Clausura,,11,Argentinos Juniors,Gimnasia y Esgrima (LP),3,2,False,,
19/5/2000,1999-2000 Clausura,,12,San Lorenzo de Almagro,Estudiantes (La Plata),3,0,False,,
19/5/2000,1999-2000 Clausura,,12,Newell's Old Boys,River Plate,2,4,False,,
19/5/2000,1999-2000 Clausura,,12,Racing,Lanús,0,3,False,,
19/5/2000,1999-2000 Clausura,,12,Talleres (Córdoba),Argentinos Juniors,0,0,False,,
19/5/2000,1999-2000 Clausura,,12,Gimnasia y Esgrima (LP),Vélez Sarsfield,1,1,False,,
19/5/2000,1999-2000 Clausura,,12,Unión (Santa Fe),Gimnasia y Esgrima (Jujuy),2,0,False,,
19/5/2000,1999-2000 Clausura,,12,Instituto (Córdoba),Colón (Santa Fe),3,2,False,,
19/5/2000,1999-2000 Clausura,,12,Chacarita Juniors,Independiente,2,2,False,,
19/5/2000,1999-2000 Clausura,,12,Boca Juniors,Rosario Central,2,0,False,,
19/5/2000,1999-2000 Clausura,,12,Ferro Carril Oeste,Belgrano (Córdoba),1,5,False,,
26/5/2000,1999-2000 Clausura,,13,Independiente,Ferro Carril Oeste,2,0,False,,
26/5/2000,1999-2000 Clausura,,13,Lanús,Chacarita Juniors,3,0,False,,
26/5/2000,1999-2000 Clausura,,13,Belgrano (Córdoba),San Lorenzo de Almagro,1,2,False,,
26/5/2000,1999-2000 Clausura,,13,Colón (Santa Fe),Rosario Central,0,2,False,,
26/5/2000,1999-2000 Clausura,,13,Gimnasia y Esgrima (Jujuy),Gimnasia y Esgrima (LP),0,1,False,,
26/5/2000,1999-2000 Clausura,,13,Vélez Sarsfield,Talleres (Córdoba),0,0,False,,
26/5/2000,1999-2000 Clausura,,13,Argentinos Juniors,Racing,2,1,False,,
26/5/2000,1999-2000 Clausura,,13,River Plate,Unión (Santa Fe),1,2,False,,
26/5/2000,1999-2000 Clausura,,13,Estudiantes (La Plata),Instituto (Córdoba),1,1,False,,
3/6/2000,1999-2000 Clausura,,13,Newell's Old Boys,Boca Juniors,1,0,False,,
10/6/2000,1999-2000 Clausura,,14,Unión (Santa Fe),Newell's Old Boys,1,0,False,,
10/6/2000,1999-2000 Clausura,,14,Ferro Carril Oeste,Lanús,0,7,False,,
10/6/2000,1999-2000 Clausura,,14,Chacarita Juniors,Argentinos Juniors,1,1,False,,
10/6/2000,1999-2000 Clausura,,14,Racing,Vélez Sarsfield,2,2,False,,
10/6/2000,1999-2000 Clausura,,14,Gimnasia y Esgrima (LP),River Plate,0,4,False,,
10/6/2000,1999-2000 Clausura,,14,Boca Juniors,Colón (Santa Fe),3,2,False,,
10/6/2000,1999-2000 Clausura,,14,Rosario Central,Estudiantes (La Plata),0,1,False,,
10/6/2000,1999-2000 Clausura,,14,Instituto (Córdoba),Belgrano (Córdoba),2,0,False,,
10/6/2000,1999-2000 Clausura,,14,San Lorenzo de Almagro,Independiente,1,2,False,,
10/6/2000,1999-2000 Clausura,,14,Talleres (Córdoba),Gimnasia y Esgrima (Jujuy),2,1,False,,
16/6/2000,1999-2000 Clausura,,15,Independiente,Instituto (Córdoba),3,2,False,,
16/6/2000,1999-2000 Clausura,,15,Gimnasia y Esgrima (Jujuy),Racing,1,2,False,,
16/6/2000,1999-2000 Clausura,,15,Vélez Sarsfield,Chacarita Juniors,2,0,False,,
16/6/2000,1999-2000 Clausura,,15,Argentinos Juniors,Ferro Carril Oeste,1,0,False,,
16/6/2000,1999-2000 Clausura,,15,Lanús,San Lorenzo de Almagro,0,1,False,,
16/6/2000,1999-2000 Clausura,,15,Estudiantes (La Plata),Colón (Santa Fe),0,0,False,,
