date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
11/2/2011,2010-2011 Clausura,,1,Estudiantes (La Plata),Newell's Old Boys,2,1,False,,
11/2/2011,2010-2011 Clausura,,1,Independiente,Vélez Sarsfield,2,2,False,,
12/2/2011,2010-2011 Clausura,,1,Colón (Santa Fe),Quilmes,2,0,False,,
12/2/2011,2010-2011 Clausura,,1,San Lorenzo de Almagro,Gimnasia y Esgrima (LP),1,1,False,,
12/2/2011,2010-2011 Clausura,,1,Olimpo (Bahía Blanca),Banfield,2,1,False,,
13/2/2011,2010-2011 Clausura,,1,All Boys,Racing,0,1,False,,
13/2/2011,2010-2011 Clausura,,1,Boca Juniors,Godoy Cruz Antonio Tomba,1,4,False,,
13/2/2011,2010-2011 Clausura,,1,Tigre,River Plate,0,0,False,,
14/2/2011,2010-2011 Clausura,,1,Lanús,Arsenal,3,1,False,,
14/2/2011,2010-2011 Clausura,,1,Huracán,Argentinos Juniors,1,1,False,,
18/2/2011,2010-2011 Clausura,,2,Gimnasia y Esgrima (LP),Olimpo (Bahía Blanca),1,3,False,,
18/2/2011,2010-2011 Clausura,,2,Banfield,Colón (Santa Fe),1,1,False,,
19/2/2011,2010-2011 Clausura,,2,Argentinos Juniors,Independiente,0,0,False,,
19/2/2011,2010-2011 Clausura,,2,Newell's Old Boys,Lanús,2,1,False,,
19/2/2011,2010-2011 Clausura,,2,Vélez Sarsfield,All Boys,1,2,False,,
20/2/2011,2010-2011 Clausura,,2,Quilmes,Estudiantes (La Plata),0,1,False,,
20/2/2011,2010-2011 Clausura,,2,River Plate,Huracán,2,0,False,,
20/2/2011,2010-2011 Clausura,,2,Racing,Boca Juniors,0,1,False,,
21/2/2011,2010-2011 Clausura,,2,Godoy Cruz Antonio Tomba,San Lorenzo de Almagro,0,2,False,,
21/2/2011,2010-2011 Clausura,,2,Arsenal,Tigre,2,0,False,,
25/2/2011,2010-2011 Clausura,,3,Olimpo (Bahía Blanca),Godoy Cruz Antonio Tomba,3,3,False,,
25/2/2011,2010-2011 Clausura,,3,Colón (Santa Fe),Gimnasia y Esgrima (LP),1,3,False,,
26/2/2011,2010-2011 Clausura,,3,San Lorenzo de Almagro,Racing,1,2,False,,
26/2/2011,2010-2011 Clausura,,3,Lanús,Quilmes,2,1,False,,
26/2/2011,2010-2011 Clausura,,3,Boca Juniors,All Boys,0,0,False,,
27/2/2011,2010-2011 Clausura,,3,Estudiantes (La Plata),Banfield,0,1,False,,
27/2/2011,2010-2011 Clausura,,3,Argentinos Juniors,Vélez Sarsfield,1,1,False,,
27/2/2011,2010-2011 Clausura,,3,Independiente,River Plate,0,1,False,,
28/2/2011,2010-2011 Clausura,,3,Huracán,Arsenal,1,1,False,,
28/2/2011,2010-2011 Clausura,,3,Tigre,Newell's Old Boys,1,0,False,,
4/3/2011,2010-2011 Clausura,,4,All Boys,San Lorenzo de Almagro,0,3,False,,
5/3/2011,2010-2011 Clausura,,4,Newell's Old Boys,Huracán,3,3,False,,
5/3/2011,2010-2011 Clausura,,4,Racing,Olimpo (Bahía Blanca),4,3,False,,
5/3/2011,2010-2011 Clausura,,4,Gimnasia y Esgrima (LP),Estudiantes (La Plata),0,2,False,,
6/3/2011,2010-2011 Clausura,,4,River Plate,Argentinos Juniors,0,0,False,,
6/3/2011,2010-2011 Clausura,,4,Vélez Sarsfield,Boca Juniors,1,0,False,,
6/3/2011,2010-2011 Clausura,,4,Godoy Cruz Antonio Tomba,Colón (Santa Fe),2,3,False,,
6/3/2011,2010-2011 Clausura,,4,Banfield,Lanús,2,1,False,,
6/3/2011,2010-2011 Clausura,,4,Quilmes,Tigre,1,2,False,,
7/3/2011,2010-2011 Clausura,,4,Arsenal,Independiente,3,0,False,,
11/3/2011,2010-2011 Clausura,,5,Olimpo (Bahía Blanca),All Boys,1,0,False,,
11/3/2011,2010-2011 Clausura,,5,Tigre,Banfield,1,2,False,,
12/3/2011,2010-2011 Clausura,,5,San Lorenzo de Almagro,Boca Juniors,1,0,False,,
12/3/2011,2010-2011 Clausura,,5,Argentinos Juniors,Arsenal,1,0,False,,
12/3/2011,2010-2011 Clausura,,5,Lanús,Gimnasia y Esgrima (LP),0,0,False,,
13/3/2011,2010-2011 Clausura,,5,Estudiantes (La Plata),Godoy Cruz Antonio Tomba,0,1,False,,
13/3/2011,2010-2011 Clausura,,5,Colón (Santa Fe),Racing,0,4,False,,
13/3/2011,2010-2011 Clausura,,5,River Plate,Vélez Sarsfield,1,2,False,,
14/3/2011,2010-2011 Clausura,,5,Independiente,Newell's Old Boys,4,0,False,,
14/3/2011,2010-2011 Clausura,,5,Huracán,Quilmes,2,1,False,,
19/3/2011,2010-2011 Clausura,,6,Quilmes,Independiente,1,1,False,,
19/3/2011,2010-2011 Clausura,,6,Arsenal,River Plate,1,1,False,,
19/3/2011,2010-2011 Clausura,,6,All Boys,Colón (Santa Fe),0,2,False,,
19/3/2011,2010-2011 Clausura,,6,Godoy Cruz Antonio Tomba,Lanús,2,0,False,,
20/3/2011,2010-2011 Clausura,,6,Boca Juniors,Olimpo (Bahía Blanca),0,2,False,,
20/3/2011,2010-2011 Clausura,,6,Newell's Old Boys,Argentinos Juniors,0,2,False,,
20/3/2011,2010-2011 Clausura,,6,Racing,Estudiantes (La Plata),0,1,False,,
21/3/2011,2010-2011 Clausura,,6,Gimnasia y Esgrima (LP),Tigre,2,1,False,,
21/3/2011,2010-2011 Clausura,,6,Banfield,Huracán,2,2,False,,
20/4/2011,2010-2011 Clausura,,6,Vélez Sarsfield,San Lorenzo de Almagro,2,0,False,,
25/3/2011,2010-2011 Clausura,,7,Estudiantes (La Plata),All Boys,3,0,False,,
25/3/2011,2010-2011 Clausura,,7,Argentinos Juniors,Quilmes,0,0,False,,
26/3/2011,2010-2011 Clausura,,7,Lanús,Racing,4,1,False,,
26/3/2011,2010-2011 Clausura,,7,River Plate,Newell's Old Boys,2,1,False,,
26/3/2011,2010-2011 Clausura,,7,Huracán,Gimnasia y Esgrima (LP),2,0,False,,
26/3/2011,2010-2011 Clausura,,7,Olimpo (Bahía Blanca),San Lorenzo de Almagro,0,1,False,,
27/3/2011,2010-2011 Clausura,,7,Colón (Santa Fe),Boca Juniors,0,1,False,,
27/3/2011,2010-2011 Clausura,,7,Tigre,Godoy Cruz Antonio Tomba,2,2,False,,
27/3/2011,2010-2011 Clausura,,7,Vélez Sarsfield,Arsenal,3,0,False,,
27/3/2011,2010-2011 Clausura,,7,Independiente,Banfield,1,1,False,,
1/4/2011,2010-2011 Clausura,,8,Gimnasia y Esgrima (LP),Independiente,1,2,False,,
1/4/2011,2010-2011 Clausura,,8,Banfield,Argentinos Juniors,0,2,False,,
2/4/2011,2010-2011 Clausura,,8,All Boys,Lanús,0,0,False,,
2/4/2011,2010-2011 Clausura,,8,Olimpo (Bahía Blanca),Vélez Sarsfield,1,2,False,,
2/4/2011,2010-2011 Clausura,,8,Newell's Old Boys,Arsenal,2,2,False,,
2/4/2011,2010-2011 Clausura,,8,Racing,Tigre,1,2,False,,
3/4/2011,2010-2011 Clausura,,8,Boca Juniors,Estudiantes (La Plata),2,1,False,,
3/4/2011,2010-2011 Clausura,,8,Quilmes,River Plate,0,1,False,,
3/4/2011,2010-2011 Clausura,,8,Godoy Cruz Antonio Tomba,Huracán,3,1,False,,
3/4/2011,2010-2011 Clausura,,8,San Lorenzo de Almagro,Colón (Santa Fe),1,2,False,,
8/4/2011,2010-2011 Clausura,,9,Independiente,Godoy Cruz Antonio Tomba,3,0,False,,
8/4/2011,2010-2011 Clausura,,9,Estudiantes (La Plata),San Lorenzo de Almagro,0,0,False,,
9/4/2011,2010-2011 Clausura,,9,Huracán,Racing,0,0,False,,
9/4/2011,2010-2011 Clausura,,9,Colón (Santa Fe),Olimpo (Bahía Blanca),0,2,False,,
9/4/2011,2010-2011 Clausura,,9,Arsenal,Quilmes,2,2,False,,
9/4/2011,2010-2011 Clausura,,9,River Plate,Banfield,1,0,False,,
10/4/2011,2010-2011 Clausura,,9,Argentinos Juniors,Gimnasia y Esgrima (LP),1,1,False,,
10/4/2011,2010-2011 Clausura,,9,Tigre,All Boys,0,1,False,,
10/4/2011,2010-2011 Clausura,,9,Vélez Sarsfield,Newell's Old Boys,2,0,False,,
10/4/2011,2010-2011 Clausura,,9,Lanús,Boca Juniors,2,0,False,,
15/4/2011,2010-2011 Clausura,,10,Quilmes,Newell's Old Boys,3,1,False,,
16/4/2011,2010-2011 Clausura,,10,San Lorenzo de Almagro,Lanús,1,1,False,,
16/4/2011,2010-2011 Clausura,,10,All Boys,Huracán,3,1,False,,
16/4/2011,2010-2011 Clausura,,10,Racing,Independiente,2,0,False,,
