date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
05/02/2016,Torneo de Transición,,1,Banfield,Gimnasia y Esgrima (LP),2,0,,,
05/02/2016,Torneo de Transición,,1,Huracán,Atlético Rafaela,0,1,,,
05/02/2016,Torneo de Transición,,1,Rosario Central,Godoy Cruz Antonio Tomba,1,0,,,
06/02/2016,Torneo de Transición,,1,Argentinos Juniors,Tigre,1,1,,,
06/02/2016,Torneo de Transición,,1,Aldosivi,Olimpo (Bahía Blanca),3,0,,,
06/02/2016,Torneo de Transición,,1,Patronato (Paraná),San Lorenzo de Almagro,2,2,,,
06/02/2016,Torneo de Transición,,1,San Martín (San Juan),Newell's Old Boys,2,1,,,
06/02/2016,Torneo de Transición,,1,Temperley,Boca Juniors,0,0,,,
07/02/2016,Torneo de Transición,,1,Defensa y Justicia,Unión (Santa Fe),2,2,,,
07/02/2016,Torneo de Transición,,1,Independiente,Belgrano (Córdoba),1,0,,,
07/02/2016,Torneo de Transición,,1,Colón (Santa Fe),Arsenal,2,1,,,
07/02/2016,Torneo de Transición,,1,Atlético Tucumán,Racing,2,1,,,
08/02/2016,Torneo de Transición,,1,Estudiantes (La Plata),Lanús,0,1,,,
08/02/2016,Torneo de Transición,,1,River Plate,Quilmes,5,1,,,
08/02/2016,Torneo de Transición,,1,Sarmiento,Vélez Sarsfield,1,0,,,
12/02/2016,Torneo de Transición,,2,Arsenal,Banfield,3,1,,,
12/02/2016,Torneo de Transición,,2,Unión (Santa Fe),Temperley,3,0,,,
12/02/2016,Torneo de Transición,,2,Godoy Cruz Antonio Tomba,Independiente,1,1,,,
12/02/2016,Torneo de Transición,,2,Quilmes,Colón (Santa Fe),2,4,,,
13/02/2016,Torneo de Transición,,2,San Lorenzo de Almagro,Sarmiento,2,1,,,
13/02/2016,Torneo de Transición,,2,Atlético Rafaela,Estudiantes (La Plata),0,1,,,
13/02/2016,Torneo de Transición,,2,Aldosivi,Argentinos Juniors,3,2,,,
13/02/2016,Torneo de Transición,,2,Racing,San Martín (San Juan),2,2,,,
13/02/2016,Torneo de Transición,,2,Vélez Sarsfield,Olimpo (Bahía Blanca),2,1,,,
14/02/2016,Torneo de Transición,,2,Lanús,Defensa y Justicia,2,1,,,
14/02/2016,Torneo de Transición,,2,Rosario Central,Newell's Old Boys,2,0,,,
14/02/2016,Torneo de Transición,,2,Gimnasia y Esgrima (LP),Patronato (Paraná),3,2,,,
14/02/2016,Torneo de Transición,,2,Boca Juniors,Atlético Tucumán,0,1,,,
14/02/2016,Torneo de Transición,,2,Belgrano (Córdoba),River Plate,3,2,,,
16/02/2016,Torneo de Transición,,3,Olimpo (Bahía Blanca),San Lorenzo de Almagro,0,2,,,
16/02/2016,Torneo de Transición,,3,Banfield,Quilmes,1,1,,,
16/02/2016,Torneo de Transición,,3,Argentinos Juniors,Vélez Sarsfield,0,3,,,
17/02/2016,Torneo de Transición,,3,Newell's Old Boys,Racing,5,0,,,
17/02/2016,Torneo de Transición,,3,Defensa y Justicia,Atlético Rafaela,4,1,,,
17/02/2016,Torneo de Transición,,3,Patronato (Paraná),Arsenal,0,0,,,
17/02/2016,Torneo de Transición,,3,Independiente,Rosario Central,0,2,,,
17/02/2016,Torneo de Transición,,3,San Martín (San Juan),Boca Juniors,0,1,,,
17/02/2016,Torneo de Transición,,3,Sarmiento,Gimnasia y Esgrima (LP),1,3,,,
18/02/2016,Torneo de Transición,,3,Estudiantes (La Plata),Tigre,1,1,,,
18/02/2016,Torneo de Transición,,3,Colón (Santa Fe),Belgrano (Córdoba),3,0,,,
18/02/2016,Torneo de Transición,,3,Temperley,Lanús,0,1,,,
18/02/2016,Torneo de Transición,,3,Atlético Tucumán,Unión (Santa Fe),2,0,,,
18/02/2016,Torneo de Transición,,3,River Plate,Godoy Cruz Antonio Tomba,1,2,,,
20/02/2016,Torneo de Transición,,4,San Lorenzo de Almagro,Vélez Sarsfield,3,2,,,
20/02/2016,Torneo de Transición,,4,Gimnasia y Esgrima (LP),Olimpo (Bahía Blanca),1,0,,,
20/02/2016,Torneo de Transición,,4,Boca Juniors,Newell's Old Boys,4,1,,,
21/02/2016,Torneo de Transición,,4,Tigre,Defensa y Justicia,0,2,,,
21/02/2016,Torneo de Transición,,4,Belgrano (Córdoba),Banfield,0,0,,,
21/02/2016,Torneo de Transición,,4,Independiente,Racing,1,1,,,
21/02/2016,Torneo de Transición,,4,Godoy Cruz Antonio Tomba,Colón (Santa Fe),4,1,,,
21/02/2016,Torneo de Transición,,4,Rosario Central,River Plate,3,3,,,
22/02/2016,Torneo de Transición,,4,Quilmes,Patronato (Paraná),2,2,,,
22/02/2016,Torneo de Transición,,4,Arsenal,Sarmiento,2,0,,,
22/02/2016,Torneo de Transición,,4,Unión (Santa Fe),San Martín (San Juan),1,1,,,
23/02/2016,Torneo de Transición,,4,Atlético Rafaela,Temperley,0,2,,,
23/02/2016,Torneo de Transición,,4,Lanús,Atlético Tucumán,1,0,,,
23/02/2016,Torneo de Transición,,4,Aldosivi,Estudiantes (La Plata),1,2,,,
26/02/2016,Torneo de Transición,,5,Newell's Old Boys,Unión (Santa Fe),1,1,,,
26/02/2016,Torneo de Transición,,5,Banfield,Godoy Cruz Antonio Tomba,2,3,,,
27/02/2016,Torneo de Transición,,5,Sarmiento,Quilmes,2,2,,,
27/02/2016,Torneo de Transición,,5,Estudiantes (La Plata),Argentinos Juniors,4,1,,,
27/02/2016,Torneo de Transición,,5,Defensa y Justicia,Aldosivi,4,0,,,
