date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
7/8/1999,1999-2000 Apertura,,1,River Plate,Instituto (Córdoba),4,1,False,,
7/8/1999,1999-2000 Apertura,,1,Newell's Old Boys,San Lorenzo de Almagro,1,2,False,,
7/8/1999,1999-2000 Apertura,,1,Vélez Sarsfield,Colón (Santa Fe),0,0,False,,
7/8/1999,1999-2000 Apertura,,1,Boca Juniors,Independiente,3,0,False,,
7/8/1999,1999-2000 Apertura,,1,Argentinos Juniors,Estudiantes (La Plata),3,0,False,,
7/8/1999,1999-2000 Apertura,,1,Gimnasia y Esgrima (Jujuy),Rosario Central,1,2,False,,
7/8/1999,1999-2000 Apertura,,1,Lanús,Belgrano (Córdoba),0,0,False,,
7/8/1999,1999-2000 Apertura,,1,Unión (Santa Fe),Ferro Carril Oeste,3,0,False,,
7/8/1999,1999-2000 Apertura,,1,Talleres (Córdoba),Racing,1,1,False,,
7/8/1999,1999-2000 Apertura,,1,Chacarita Juniors,Gimnasia y Esgrima (LP),0,0,False,,
14/8/1999,1999-2000 Apertura,,2,San Lorenzo de Almagro,Unión (Santa Fe),3,1,False,,
14/8/1999,1999-2000 Apertura,,2,Estudiantes (La Plata),Vélez Sarsfield,4,2,False,,
14/8/1999,1999-2000 Apertura,,2,Rosario Central,River Plate,1,2,False,,
14/8/1999,1999-2000 Apertura,,2,Independiente,Lanús,1,2,False,,
14/8/1999,1999-2000 Apertura,,2,Instituto (Córdoba),Newell's Old Boys,1,1,False,,
14/8/1999,1999-2000 Apertura,,2,Belgrano (Córdoba),Argentinos Juniors,0,0,False,,
14/8/1999,1999-2000 Apertura,,2,Ferro Carril Oeste,Gimnasia y Esgrima (LP),1,3,False,,
14/8/1999,1999-2000 Apertura,,2,Colón (Santa Fe),Gimnasia y Esgrima (Jujuy),2,0,False,,
18/8/1999,1999-2000 Apertura,,2,Boca Juniors,Racing,1,1,False,,
29/9/1999,1999-2000 Apertura,,2,Chacarita Juniors,Talleres (Córdoba),1,1,False,,
21/8/1999,1999-2000 Apertura,,3,Vélez Sarsfield,Belgrano (Córdoba),3,0,False,,
21/8/1999,1999-2000 Apertura,,3,Racing,Chacarita Juniors,2,2,False,,
21/8/1999,1999-2000 Apertura,,3,Gimnasia y Esgrima (LP),San Lorenzo de Almagro,1,2,False,,
