date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
9/2/2007,2006-2007 Clausura,,1,Independiente,Colón (Santa Fe),1,3,False,,
9/2/2007,2006-2007 Clausura,,1,Gimnasia y Esgrima (LP),Arsenal,0,2,False,,
10/2/2007,2006-2007 Clausura,,1,Banfield,Boca Juniors,0,4,False,,
10/2/2007,2006-2007 Clausura,,1,Vélez Sarsfield,Newell's Old Boys,2,0,False,,
11/2/2007,2006-2007 Clausura,,1,San Lorenzo de Almagro,Gimnasia y Esgrima (Jujuy),2,1,False,,
11/2/2007,2006-2007 Clausura,,1,Rosario Central,Belgrano (Córdoba),1,0,False,,
11/2/2007,2006-2007 Clausura,,1,River Plate,Lanús,1,0,False,,
11/2/2007,2006-2007 Clausura,,1,Nueva Chicago,Racing,1,1,False,,
11/2/2007,2006-2007 Clausura,,1,Godoy Cruz Antonio Tomba,Argentinos Juniors,2,0,False,,
12/2/2007,2006-2007 Clausura,,1,Estudiantes (La Plata),Quilmes,2,0,False,,
16/2/2007,2006-2007 Clausura,,2,Lanús,Banfield,2,1,False,,
16/2/2007,2006-2007 Clausura,,2,Belgrano (Córdoba),Independiente,0,0,False,,
17/2/2007,2006-2007 Clausura,,2,Arsenal,Godoy Cruz Antonio Tomba,2,1,False,,
17/2/2007,2006-2007 Clausura,,2,Newell's Old Boys,River Plate,0,2,False,,
17/2/2007,2006-2007 Clausura,,2,Colón (Santa Fe),San Lorenzo de Almagro,1,1,False,,
17/2/2007,2006-2007 Clausura,,2,Gimnasia y Esgrima (Jujuy),Estudiantes (La Plata),0,0,False,,
18/2/2007,2006-2007 Clausura,,2,Argentinos Juniors,Nueva Chicago,3,0,False,,
18/2/2007,2006-2007 Clausura,,2,Racing,Vélez Sarsfield,2,2,False,,
18/2/2007,2006-2007 Clausura,,2,Boca Juniors,Rosario Central,1,1,False,,
18/2/2007,2006-2007 Clausura,,2,Quilmes,Gimnasia y Esgrima (LP),2,2,False,,
23/2/2007,2006-2007 Clausura,,3,Estudiantes (La Plata),Colón (Santa Fe),2,2,False,,
23/2/2007,2006-2007 Clausura,,3,Nueva Chicago,Arsenal,0,4,False,,
24/2/2007,2006-2007 Clausura,,3,Independiente,Boca Juniors,1,3,False,,
24/2/2007,2006-2007 Clausura,,3,Rosario Central,Banfield,1,1,False,,
24/2/2007,2006-2007 Clausura,,3,Vélez Sarsfield,Argentinos Juniors,0,2,False,,
25/2/2007,2006-2007 Clausura,,3,Gimnasia y Esgrima (LP),Gimnasia y Esgrima (Jujuy),2,0,False,,
25/2/2007,2006-2007 Clausura,,3,San Lorenzo de Almagro,Belgrano (Córdoba),1,0,False,,
25/2/2007,2006-2007 Clausura,,3,Lanús,Newell's Old Boys,3,2,False,,
25/2/2007,2006-2007 Clausura,,3,River Plate,Racing,4,2,False,,
25/2/2007,2006-2007 Clausura,,3,Godoy Cruz Antonio Tomba,Quilmes,3,0,False,,
2/3/2007,2006-2007 Clausura,,4,Racing,Newell's Old Boys,0,1,False,,
2/3/2007,2006-2007 Clausura,,4,Colón (Santa Fe),Gimnasia y Esgrima (LP),1,2,False,,
3/3/2007,2006-2007 Clausura,,4,Banfield,Independiente,2,1,False,,
3/3/2007,2006-2007 Clausura,,4,Belgrano (Córdoba),Estudiantes (La Plata),1,2,False,,
4/3/2007,2006-2007 Clausura,,4,Gimnasia y Esgrima (Jujuy),Godoy Cruz Antonio Tomba,2,1,False,,
4/3/2007,2006-2007 Clausura,,4,Quilmes,Nueva Chicago,1,0,False,,
4/3/2007,2006-2007 Clausura,,4,Arsenal,Vélez Sarsfield,3,1,False,,
4/3/2007,2006-2007 Clausura,,4,Argentinos Juniors,River Plate,2,1,False,,
4/3/2007,2006-2007 Clausura,,4,Rosario Central,Lanús,2,3,False,,
4/3/2007,2006-2007 Clausura,,4,Boca Juniors,San Lorenzo de Almagro,0,3,False,,
9/3/2007,2006-2007 Clausura,,5,Nueva Chicago,Gimnasia y Esgrima (Jujuy),0,0,False,,
9/3/2007,2006-2007 Clausura,,5,Independiente,Rosario Central,2,0,False,,
10/3/2007,2006-2007 Clausura,,5,Estudiantes (La Plata),Boca Juniors,1,3,False,,
10/3/2007,2006-2007 Clausura,,5,Vélez Sarsfield,Quilmes,1,0,False,,
11/3/2007,2006-2007 Clausura,,5,Godoy Cruz Antonio Tomba,Colón (Santa Fe),2,0,False,,
11/3/2007,2006-2007 Clausura,,5,Gimnasia y Esgrima (LP),Belgrano (Córdoba),2,2,False,,
11/3/2007,2006-2007 Clausura,,5,San Lorenzo de Almagro,Banfield,2,1,False,,
11/3/2007,2006-2007 Clausura,,5,Lanús,Racing,1,2,False,,
11/3/2007,2006-2007 Clausura,,5,Newell's Old Boys,Argentinos Juniors,1,0,False,,
11/3/2007,2006-2007 Clausura,,5,River Plate,Arsenal,2,1,False,,
16/3/2007,2006-2007 Clausura,,6,Arsenal,Newell's Old Boys,2,3,False,,
16/3/2007,2006-2007 Clausura,,6,Banfield,Estudiantes (La Plata),0,2,False,,
17/3/2007,2006-2007 Clausura,,6,Independiente,Lanús,1,0,False,,
17/3/2007,2006-2007 Clausura,,6,Rosario Central,San Lorenzo de Almagro,0,1,False,,
18/3/2007,2006-2007 Clausura,,6,Belgrano (Córdoba),Godoy Cruz Antonio Tomba,3,2,False,,
18/3/2007,2006-2007 Clausura,,6,Colón (Santa Fe),Nueva Chicago,1,2,False,,
18/3/2007,2006-2007 Clausura,,6,Gimnasia y Esgrima (Jujuy),Vélez Sarsfield,0,1,False,,
18/3/2007,2006-2007 Clausura,,6,Quilmes,River Plate,0,1,False,,
18/3/2007,2006-2007 Clausura,,6,Argentinos Juniors,Racing,1,0,False,,
18/3/2007,2006-2007 Clausura,,6,Boca Juniors,Gimnasia y Esgrima (LP),5,1,False,,
23/3/2007,2006-2007 Clausura,,7,Racing,Arsenal,2,2,False,,
23/3/2007,2006-2007 Clausura,,7,Nueva Chicago,Belgrano (Córdoba),2,0,False,,
24/3/2007,2006-2007 Clausura,,7,Vélez Sarsfield,Colón (Santa Fe),1,1,False,,
24/3/2007,2006-2007 Clausura,,7,Estudiantes (La Plata),Rosario Central,3,0,False,,
25/3/2007,2006-2007 Clausura,,7,River Plate,Gimnasia y Esgrima (Jujuy),0,1,False,,
25/3/2007,2006-2007 Clausura,,7,Godoy Cruz Antonio Tomba,Boca Juniors,0,1,False,,
25/3/2007,2006-2007 Clausura,,7,Gimnasia y Esgrima (LP),Banfield,0,1,False,,
25/3/2007,2006-2007 Clausura,,7,San Lorenzo de Almagro,Independiente,4,3,False,,
25/3/2007,2006-2007 Clausura,,7,Lanús,Argentinos Juniors,2,1,False,,
25/3/2007,2006-2007 Clausura,,7,Newell's Old Boys,Quilmes,2,2,False,,
30/3/2007,2006-2007 Clausura,,8,Banfield,Godoy Cruz Antonio Tomba,0,0,False,,
31/3/2007,2006-2007 Clausura,,8,Boca Juniors,Nueva Chicago,2,0,False,,
1/4/2007,2006-2007 Clausura,,8,Belgrano (Córdoba),Vélez Sarsfield,3,0,False,,
1/4/2007,2006-2007 Clausura,,8,San Lorenzo de Almagro,Lanús,1,0,False,,
1/4/2007,2006-2007 Clausura,,8,Gimnasia y Esgrima (Jujuy),Newell's Old Boys,0,1,False,,
1/4/2007,2006-2007 Clausura,,8,Arsenal,Argentinos Juniors,0,2,False,,
1/4/2007,2006-2007 Clausura,,8,Independiente,Estudiantes (La Plata),0,0,False,,
25/4/2007,2006-2007 Clausura,,8,Rosario Central,Gimnasia y Esgrima (LP),1,0,False,,
2/5/2007,2006-2007 Clausura,,8,Colón (Santa Fe),River Plate,0,0,False,,
2/5/2007,2006-2007 Clausura,,8,Quilmes,Racing,2,3,False,,
6/4/2007,2006-2007 Clausura,,9,Racing,Gimnasia y Esgrima (Jujuy),0,1,False,,
7/4/2007,2006-2007 Clausura,,9,Argentinos Juniors,Quilmes,1,1,False,,
7/4/2007,2006-2007 Clausura,,9,Estudiantes (La Plata),San Lorenzo de Almagro,2,1,False,,
8/4/2007,2006-2007 Clausura,,9,Newell's Old Boys,Colón (Santa Fe),1,3,False,,
8/4/2007,2006-2007 Clausura,,9,River Plate,Belgrano (Córdoba),1,1,False,,
8/4/2007,2006-2007 Clausura,,9,Vélez Sarsfield,Boca Juniors,1,3,False,,
8/4/2007,2006-2007 Clausura,,9,Godoy Cruz Antonio Tomba,Rosario Central,2,1,False,,
8/4/2007,2006-2007 Clausura,,9,Gimnasia y Esgrima (LP),Independiente,4,1,False,,
8/4/2007,2006-2007 Clausura,,9,Lanús,Arsenal,0,0,False,,
25/4/2007,2006-2007 Clausura,,9,Nueva Chicago,Banfield,2,1,False,,
13/4/2007,2006-2007 Clausura,,10,Colón (Santa Fe),Racing,1,1,False,,
14/4/2007,2006-2007 Clausura,,10,San Lorenzo de Almagro,Gimnasia y Esgrima (LP),1,0,False,,
14/4/2007,2006-2007 Clausura,,10,Independiente,Godoy Cruz Antonio Tomba,0,2,False,,
15/4/2007,2006-2007 Clausura,,10,Rosario Central,Nueva Chicago,3,0,False,,
15/4/2007,2006-2007 Clausura,,10,Banfield,Vélez Sarsfield,2,3,False,,
15/4/2007,2006-2007 Clausura,,10,Boca Juniors,River Plate,1,1,False,,
15/4/2007,2006-2007 Clausura,,10,Estudiantes (La Plata),Lanús,0,0,False,,
15/4/2007,2006-2007 Clausura,,10,Belgrano (Córdoba),Newell's Old Boys,0,2,False,,
15/4/2007,2006-2007 Clausura,,10,Gimnasia y Esgrima (Jujuy),Argentinos Juniors,0,0,False,,
8/5/2007,2006-2007 Clausura,,10,Quilmes,Arsenal,0,1,False,,
