date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
1/8/2003,2003-2004 Apertura,,1,San Lorenzo de Almagro,Chacarita Juniors,1,2,False,,
2/8/2003,2003-2004 Apertura,,1,Colón (Santa Fe),Racing,0,0,False,,
2/8/2003,2003-2004 Apertura,,1,Arsenal,Talleres (Córdoba),1,1,False,,
2/8/2003,2003-2004 Apertura,,1,Banfield,Newell's Old Boys,0,0,False,,
2/8/2003,2003-2004 Apertura,,1,Rosario Central,Vélez Sarsfield,2,1,False,,
3/8/2003,2003-2004 Apertura,,1,Independiente,Estudiantes (La Plata),3,1,False,,
3/8/2003,2003-2004 Apertura,,1,Quilmes,Atlético Rafaela,3,1,False,,
3/8/2003,2003-2004 Apertura,,1,Olimpo (Bahía Blanca),Lanús,2,2,False,,
3/8/2003,2003-2004 Apertura,,1,River Plate,Nueva Chicago,2,1,False,,
3/8/2003,2003-2004 Apertura,,1,Gimnasia y Esgrima (LP),Boca Juniors,0,1,False,,
8/8/2003,2003-2004 Apertura,,2,Vélez Sarsfield,Banfield,0,3,False,,
9/8/2003,2003-2004 Apertura,,2,Lanús,Colón (Santa Fe),0,0,False,,
9/8/2003,2003-2004 Apertura,,2,Atlético Rafaela,Arsenal,1,0,False,,
9/8/2003,2003-2004 Apertura,,2,Newell's Old Boys,Independiente,0,0,False,,
9/8/2003,2003-2004 Apertura,,2,Racing,San Lorenzo de Almagro,1,0,False,,
10/8/2003,2003-2004 Apertura,,2,Chacarita Juniors,Gimnasia y Esgrima (LP),2,2,False,,
10/8/2003,2003-2004 Apertura,,2,Talleres (Córdoba),Olimpo (Bahía Blanca),1,0,False,,
10/8/2003,2003-2004 Apertura,,2,Nueva Chicago,Quilmes,0,2,False,,
10/8/2003,2003-2004 Apertura,,2,Boca Juniors,Rosario Central,4,0,False,,
10/8/2003,2003-2004 Apertura,,2,Estudiantes (La Plata),River Plate,3,0,False,,
15/8/2003,2003-2004 Apertura,,3,Gimnasia y Esgrima (LP),Racing,0,0,False,,
16/8/2003,2003-2004 Apertura,,3,Rosario Central,Chacarita Juniors,0,0,False,,
16/8/2003,2003-2004 Apertura,,3,Banfield,Independiente,0,1,False,,
17/8/2003,2003-2004 Apertura,,3,Colón (Santa Fe),Talleres (Córdoba),5,1,False,,
17/8/2003,2003-2004 Apertura,,3,Olimpo (Bahía Blanca),Atlético Rafaela,0,1,False,,
17/8/2003,2003-2004 Apertura,,3,Arsenal,Nueva Chicago,1,1,False,,
17/8/2003,2003-2004 Apertura,,3,Quilmes,Estudiantes (La Plata),0,0,False,,
17/8/2003,2003-2004 Apertura,,3,River Plate,Newell's Old Boys,0,2,False,,
17/8/2003,2003-2004 Apertura,,3,Vélez Sarsfield,Boca Juniors,1,3,False,,
17/8/2003,2003-2004 Apertura,,3,San Lorenzo de Almagro,Lanús,1,1,False,,
22/8/2003,2003-2004 Apertura,,4,Nueva Chicago,Olimpo (Bahía Blanca),1,1,False,,
