date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
24/8/1997,1997-1998 Apertura,,1,Gimnasia y Esgrima (LP),San Lorenzo de Almagro,3,1,False,,
24/8/1997,1997-1998 Apertura,,1,Huracán,Estudiantes (La Plata),0,2,False,,
24/8/1997,1997-1998 Apertura,,1,Deportivo Español,Independiente,0,3,False,,
24/8/1997,1997-1998 Apertura,,1,Ferro Carril Oeste,Gimnasia y Esgrima (Jujuy),5,0,False,,
24/8/1997,1997-1998 Apertura,,1,Rosario Central,Colón (Santa Fe),2,0,False,,
24/8/1997,1997-1998 Apertura,,1,Lanús,River Plate,1,3,False,,
24/8/1997,1997-1998 Apertura,,1,Boca Juniors,Argentinos Juniors,4,2,False,,
24/8/1997,1997-1998 Apertura,,1,Racing,Vélez Sarsfield,1,1,False,,
24/8/1997,1997-1998 Apertura,,1,Gimnasia y Tiro (Salta),Newell's Old Boys,2,0,False,,
24/8/1997,1997-1998 Apertura,,1,Unión (Santa Fe),Platense,2,1,False,,
31/8/1997,1997-1998 Apertura,,2,San Lorenzo de Almagro,Racing,3,2,False,,
31/8/1997,1997-1998 Apertura,,2,River Plate,Rosario Central,1,3,False,,
31/8/1997,1997-1998 Apertura,,2,Independiente,Huracán,3,2,False,,
31/8/1997,1997-1998 Apertura,,2,Platense,Boca Juniors,2,2,False,,
31/8/1997,1997-1998 Apertura,,2,Estudiantes (La Plata),Gimnasia y Esgrima (LP),2,2,False,,
31/8/1997,1997-1998 Apertura,,2,Newell's Old Boys,Unión (Santa Fe),3,0,False,,
31/8/1997,1997-1998 Apertura,,2,Vélez Sarsfield,Gimnasia y Tiro (Salta),2,1,False,,
31/8/1997,1997-1998 Apertura,,2,Colón (Santa Fe),Ferro Carril Oeste,2,2,False,,
31/8/1997,1997-1998 Apertura,,2,Argentinos Juniors,Lanús,1,0,False,,
31/8/1997,1997-1998 Apertura,,2,Gimnasia y Esgrima (Jujuy),Deportivo Español,4,0,False,,
13/9/1997,1997-1998 Apertura,,3,Racing,Estudiantes (La Plata),0,1,False,,
13/9/1997,1997-1998 Apertura,,3,Gimnasia y Tiro (Salta),San Lorenzo de Almagro,1,1,False,,
13/9/1997,1997-1998 Apertura,,3,Gimnasia y Esgrima (LP),Independiente,3,2,False,,
13/9/1997,1997-1998 Apertura,,3,Unión (Santa Fe),Vélez Sarsfield,1,3,False,,
13/9/1997,1997-1998 Apertura,,3,Boca Juniors,Newell's Old Boys,2,1,False,,
13/9/1997,1997-1998 Apertura,,3,Ferro Carril Oeste,River Plate,0,3,False,,
13/9/1997,1997-1998 Apertura,,3,Rosario Central,Lanús,2,2,False,,
13/9/1997,1997-1998 Apertura,,3,Platense,Argentinos Juniors,1,3,False,,
13/9/1997,1997-1998 Apertura,,3,Deportivo Español,Colón (Santa Fe),2,0,False,,
13/9/1997,1997-1998 Apertura,,3,Huracán,Gimnasia y Esgrima (Jujuy),0,0,False,,
17/9/1997,1997-1998 Apertura,,4,Independiente,Racing,2,0,False,,
17/9/1997,1997-1998 Apertura,,4,San Lorenzo de Almagro,Unión (Santa Fe),3,2,False,,
17/9/1997,1997-1998 Apertura,,4,Argentinos Juniors,Rosario Central,1,1,False,,
17/9/1997,1997-1998 Apertura,,4,Gimnasia y Esgrima (Jujuy),Gimnasia y Esgrima (LP),0,1,False,,
17/9/1997,1997-1998 Apertura,,4,Lanús,Ferro Carril Oeste,1,3,False,,
17/9/1997,1997-1998 Apertura,,4,Colón (Santa Fe),Huracán,2,1,False,,
17/9/1997,1997-1998 Apertura,,4,Newell's Old Boys,Platense,0,0,False,,
17/9/1997,1997-1998 Apertura,,4,Vélez Sarsfield,Boca Juniors,0,0,False,,
17/9/1997,1997-1998 Apertura,,4,Estudiantes (La Plata),Gimnasia y Tiro (Salta),3,1,False,,
17/9/1997,1997-1998 Apertura,,4,River Plate,Deportivo Español,3,0,False,,
20/9/1997,1997-1998 Apertura,,5,Huracán,River Plate,0,3,False,,
20/9/1997,1997-1998 Apertura,,5,Racing,Gimnasia y Esgrima (Jujuy),1,0,False,,
20/9/1997,1997-1998 Apertura,,5,Unión (Santa Fe),Estudiantes (La Plata),0,5,False,,
20/9/1997,1997-1998 Apertura,,5,Newell's Old Boys,Argentinos Juniors,2,3,False,,
20/9/1997,1997-1998 Apertura,,5,Deportivo Español,Lanús,2,1,False,,
20/9/1997,1997-1998 Apertura,,5,Gimnasia y Esgrima (LP),Colón (Santa Fe),0,0,False,,
20/9/1997,1997-1998 Apertura,,5,Gimnasia y Tiro (Salta),Independiente,2,2,False,,
20/9/1997,1997-1998 Apertura,,5,Platense,Vélez Sarsfield,0,3,False,,
20/9/1997,1997-1998 Apertura,,5,Boca Juniors,San Lorenzo de Almagro,2,1,False,,
20/9/1997,1997-1998 Apertura,,5,Ferro Carril Oeste,Rosario Central,1,1,False,,
27/9/1997,1997-1998 Apertura,,6,San Lorenzo de Almagro,Platense,2,2,False,,
27/9/1997,1997-1998 Apertura,,6,Estudiantes (La Plata),Boca Juniors,0,0,False,,
27/9/1997,1997-1998 Apertura,,6,Independiente,Unión (Santa Fe),3,2,False,,
27/9/1997,1997-1998 Apertura,,6,Colón (Santa Fe),Racing,3,3,False,,
27/9/1997,1997-1998 Apertura,,6,Lanús,Huracán,1,0,False,,
27/9/1997,1997-1998 Apertura,,6,Rosario Central,Deportivo Español,2,1,False,,
27/9/1997,1997-1998 Apertura,,6,Argentinos Juniors,Ferro Carril Oeste,1,0,False,,
27/9/1997,1997-1998 Apertura,,6,Vélez Sarsfield,Newell's Old Boys,5,0,False,,
27/9/1997,1997-1998 Apertura,,6,River Plate,Gimnasia y Esgrima (LP),3,1,False,,
27/9/1997,1997-1998 Apertura,,6,Gimnasia y Esgrima (Jujuy),Gimnasia y Tiro (Salta),0,0,False,,
1/10/1997,1997-1998 Apertura,,7,Boca Juniors,Independiente,2,1,False,,
1/10/1997,1997-1998 Apertura,,7,Platense,Estudiantes (La Plata),1,0,False,,
1/10/1997,1997-1998 Apertura,,7,Racing,River Plate,2,3,False,,
1/10/1997,1997-1998 Apertura,,7,Deportivo Español,Ferro Carril Oeste,1,1,False,,
1/10/1997,1997-1998 Apertura,,7,Vélez Sarsfield,Argentinos Juniors,0,1,False,,
1/10/1997,1997-1998 Apertura,,7,Unión (Santa Fe),Gimnasia y Esgrima (Jujuy),1,1,False,,
1/10/1997,1997-1998 Apertura,,7,Gimnasia y Esgrima (LP),Lanús,2,1,False,,
1/10/1997,1997-1998 Apertura,,7,Gimnasia y Tiro (Salta),Colón (Santa Fe),0,2,False,,
1/10/1997,1997-1998 Apertura,,7,Newell's Old Boys,San Lorenzo de Almagro,2,2,False,,
1/10/1997,1997-1998 Apertura,,7,Huracán,Rosario Central,0,1,False,,
5/10/1997,1997-1998 Apertura,,8,San Lorenzo de Almagro,Vélez Sarsfield,3,2,False,,
5/10/1997,1997-1998 Apertura,,8,Estudiantes (La Plata),Newell's Old Boys,0,0,False,,
5/10/1997,1997-1998 Apertura,,8,Independiente,Platense,0,0,False,,
5/10/1997,1997-1998 Apertura,,8,Gimnasia y Esgrima (Jujuy),Boca Juniors,0,3,False,,
5/10/1997,1997-1998 Apertura,,8,Colón (Santa Fe),Unión (Santa Fe),2,1,False,,
5/10/1997,1997-1998 Apertura,,8,River Plate,Gimnasia y Tiro (Salta),2,0,False,,
5/10/1997,1997-1998 Apertura,,8,Lanús,Racing,2,1,False,,
5/10/1997,1997-1998 Apertura,,8,Rosario Central,Gimnasia y Esgrima (LP),0,0,False,,
5/10/1997,1997-1998 Apertura,,8,Ferro Carril Oeste,Huracán,2,1,False,,
5/10/1997,1997-1998 Apertura,,8,Argentinos Juniors,Deportivo Español,0,3,False,,
18/10/1997,1997-1998 Apertura,,9,Boca Juniors,Colón (Santa Fe),2,1,False,,
18/10/1997,1997-1998 Apertura,,9,Unión (Santa Fe),River Plate,1,1,False,,
18/10/1997,1997-1998 Apertura,,9,Argentinos Juniors,San Lorenzo de Almagro,0,1,False,,
18/10/1997,1997-1998 Apertura,,9,Newell's Old Boys,Independiente,0,2,False,,
18/10/1997,1997-1998 Apertura,,9,Racing,Rosario Central,1,4,False,,
18/10/1997,1997-1998 Apertura,,9,Vélez Sarsfield,Estudiantes (La Plata),0,0,False,,
18/10/1997,1997-1998 Apertura,,9,Huracán,Deportivo Español,4,4,False,,
18/10/1997,1997-1998 Apertura,,9,Gimnasia y Tiro (Salta),Lanús,0,0,False,,
18/10/1997,1997-1998 Apertura,,9,Gimnasia y Esgrima (LP),Ferro Carril Oeste,2,0,False,,
18/10/1997,1997-1998 Apertura,,9,Platense,Gimnasia y Esgrima (Jujuy),0,0,False,,
25/10/1997,1997-1998 Apertura,,10,River Plate,Boca Juniors,1,2,False,,
25/10/1997,1997-1998 Apertura,,10,Estudiantes (La Plata),San Lorenzo de Almagro,2,3,False,,
25/10/1997,1997-1998 Apertura,,10,Rosario Central,Gimnasia y Tiro (Salta),2,0,False,,
25/10/1997,1997-1998 Apertura,,10,Ferro Carril Oeste,Racing,0,3,False,,
25/10/1997,1997-1998 Apertura,,10,Independiente,Vélez Sarsfield,2,5,False,,
25/10/1997,1997-1998 Apertura,,10,Gimnasia y Esgrima (Jujuy),Newell's Old Boys,1,0,False,,
25/10/1997,1997-1998 Apertura,,10,Lanús,Unión (Santa Fe),3,3,False,,
25/10/1997,1997-1998 Apertura,,10,Deportivo Español,Gimnasia y Esgrima (LP),2,3,False,,
25/10/1997,1997-1998 Apertura,,10,Huracán,Argentinos Juniors,2,1,False,,
25/10/1997,1997-1998 Apertura,,10,Colón (Santa Fe),Platense,1,1,False,,
1/11/1997,1997-1998 Apertura,,11,Gimnasia y Tiro (Salta),Ferro Carril Oeste,1,1,False,,
1/11/1997,1997-1998 Apertura,,11,Gimnasia y Esgrima (LP),Huracán,3,0,False,,
1/11/1997,1997-1998 Apertura,,11,Boca Juniors,Lanús,0,1,False,,
1/11/1997,1997-1998 Apertura,,11,Unión (Santa Fe),Rosario Central,1,0,False,,
1/11/1997,1997-1998 Apertura,,11,Platense,River Plate,2,5,False,,
1/11/1997,1997-1998 Apertura,,11,Vélez Sarsfield,Gimnasia y Esgrima (Jujuy),2,1,False,,
1/11/1997,1997-1998 Apertura,,11,Racing,Deportivo Español,1,0,False,,
1/11/1997,1997-1998 Apertura,,11,Newell's Old Boys,Colón (Santa Fe),3,2,False,,
1/11/1997,1997-1998 Apertura,,11,San Lorenzo de Almagro,Independiente,3,1,False,,
