date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
5/8/2005,2005-2006 Apertura,,1,Racing,Banfield,0,0,False,,
6/8/2005,2005-2006 Apertura,,1,Quilmes,Newell's Old Boys,1,1,False,,
6/8/2005,2005-2006 Apertura,,1,San Lorenzo de Almagro,Vélez Sarsfield,3,2,False,,
6/8/2005,2005-2006 Apertura,,1,Rosario Central,Olimpo (Bahía Blanca),1,1,False,,
7/8/2005,2005-2006 Apertura,,1,River Plate,Tiro Federal,2,0,False,,
7/8/2005,2005-2006 Apertura,,1,Gimnasia y Esgrima (LP),Colón (Santa Fe),1,0,False,,
7/8/2005,2005-2006 Apertura,,1,Boca Juniors,Gimnasia y Esgrima (Jujuy),4,1,False,,
7/8/2005,2005-2006 Apertura,,1,Lanús,Independiente,2,4,False,,
2/9/2005,2005-2006 Apertura,,1,Instituto (Córdoba),Estudiantes (La Plata),0,0,False,,
2/9/2005,2005-2006 Apertura,,1,Argentinos Juniors,Arsenal,0,0,False,,
12/8/2005,2005-2006 Apertura,,2,Vélez Sarsfield,Argentinos Juniors,0,1,False,,
13/8/2005,2005-2006 Apertura,,2,Arsenal,Gimnasia y Esgrima (LP),1,1,False,,
13/8/2005,2005-2006 Apertura,,2,Colón (Santa Fe),Racing,0,2,False,,
13/8/2005,2005-2006 Apertura,,2,Newell's Old Boys,Tiro Federal,2,1,False,,
14/8/2005,2005-2006 Apertura,,2,Banfield,Quilmes,0,0,False,,
14/8/2005,2005-2006 Apertura,,2,Boca Juniors,Rosario Central,2,2,False,,
14/8/2005,2005-2006 Apertura,,2,Gimnasia y Esgrima (Jujuy),River Plate,0,0,False,,
14/8/2005,2005-2006 Apertura,,2,Independiente,Instituto (Córdoba),3,0,False,,
14/8/2005,2005-2006 Apertura,,2,Estudiantes (La Plata),San Lorenzo de Almagro,0,1,False,,
14/8/2005,2005-2006 Apertura,,2,Olimpo (Bahía Blanca),Lanús,1,1,False,,
19/8/2005,2005-2006 Apertura,,3,Argentinos Juniors,Estudiantes (La Plata),2,1,False,,
20/8/2005,2005-2006 Apertura,,3,Tiro Federal,Banfield,0,1,False,,
20/8/2005,2005-2006 Apertura,,3,Gimnasia y Esgrima (LP),Vélez Sarsfield,0,6,False,,
20/8/2005,2005-2006 Apertura,,3,Racing,Arsenal,3,1,False,,
21/8/2005,2005-2006 Apertura,,3,Quilmes,Colón (Santa Fe),4,2,False,,
21/8/2005,2005-2006 Apertura,,3,River Plate,Newell's Old Boys,2,1,False,,
