date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
17/2/1998,1997-1998 Clausura,,1,River Plate,Lanús,0,4,False,,
17/2/1998,1997-1998 Clausura,,1,Vélez Sarsfield,Racing,2,0,False,,
17/2/1998,1997-1998 Clausura,,1,Platense,Unión (Santa Fe),0,0,False,,
17/2/1998,1997-1998 Clausura,,1,Independiente,Deportivo Español,4,1,False,,
17/2/1998,1997-1998 Clausura,,1,Estudiantes (La Plata),Huracán,1,1,False,,
17/2/1998,1997-1998 Clausura,,1,Newell's Old Boys,Gimnasia y Tiro (Salta),1,1,False,,
17/2/1998,1997-1998 Clausura,,1,Gimnasia y Esgrima (Jujuy),Ferro Carril Oeste,1,4,False,,
17/2/1998,1997-1998 Clausura,,1,Colón (Santa Fe),Rosario Central,1,2,False,,
17/2/1998,1997-1998 Clausura,,1,San Lorenzo de Almagro,Gimnasia y Esgrima (LP),0,1,False,,
17/2/1998,1997-1998 Clausura,,1,Argentinos Juniors,Boca Juniors,1,3,False,,
20/2/1998,1997-1998 Clausura,,2,Rosario Central,River Plate,2,2,False,,
20/2/1998,1997-1998 Clausura,,2,Huracán,Independiente,0,1,False,,
20/2/1998,1997-1998 Clausura,,2,Gimnasia y Tiro (Salta),Vélez Sarsfield,1,2,False,,
20/2/1998,1997-1998 Clausura,,2,Unión (Santa Fe),Newell's Old Boys,2,3,False,,
20/2/1998,1997-1998 Clausura,,2,Boca Juniors,Platense,0,4,False,,
20/2/1998,1997-1998 Clausura,,2,Deportivo Español,Gimnasia y Esgrima (Jujuy),2,3,False,,
20/2/1998,1997-1998 Clausura,,2,Ferro Carril Oeste,Colón (Santa Fe),2,2,False,,
20/2/1998,1997-1998 Clausura,,2,Lanús,Argentinos Juniors,1,1,False,,
20/2/1998,1997-1998 Clausura,,2,Racing,San Lorenzo de Almagro,2,1,False,,
20/2/1998,1997-1998 Clausura,,2,Gimnasia y Esgrima (LP),Estudiantes (La Plata),3,0,False,,
24/2/1998,1997-1998 Clausura,,3,Vélez Sarsfield,Unión (Santa Fe),3,0,False,,
24/2/1998,1997-1998 Clausura,,3,San Lorenzo de Almagro,Gimnasia y Tiro (Salta),4,0,False,,
24/2/1998,1997-1998 Clausura,,3,Independiente,Gimnasia y Esgrima (LP),1,1,False,,
24/2/1998,1997-1998 Clausura,,3,Lanús,Rosario Central,3,0,False,,
24/2/1998,1997-1998 Clausura,,3,Newell's Old Boys,Boca Juniors,2,4,False,,
24/2/1998,1997-1998 Clausura,,3,Estudiantes (La Plata),Racing,0,3,False,,
24/2/1998,1997-1998 Clausura,,3,Gimnasia y Esgrima (Jujuy),Huracán,2,0,False,,
24/2/1998,1997-1998 Clausura,,3,Colón (Santa Fe),Deportivo Español,0,0,False,,
24/2/1998,1997-1998 Clausura,,3,River Plate,Ferro Carril Oeste,2,1,False,,
24/2/1998,1997-1998 Clausura,,3,Argentinos Juniors,Platense,1,1,False,,
1/3/1998,1997-1998 Clausura,,4,Unión (Santa Fe),San Lorenzo de Almagro,3,2,False,,
1/3/1998,1997-1998 Clausura,,4,Gimnasia y Tiro (Salta),Estudiantes (La Plata),1,2,False,,
1/3/1998,1997-1998 Clausura,,4,Racing,Independiente,0,0,False,,
1/3/1998,1997-1998 Clausura,,4,Gimnasia y Esgrima (LP),Gimnasia y Esgrima (Jujuy),1,2,False,,
1/3/1998,1997-1998 Clausura,,4,Huracán,Colón (Santa Fe),1,1,False,,
1/3/1998,1997-1998 Clausura,,4,Deportivo Español,River Plate,1,4,False,,
1/3/1998,1997-1998 Clausura,,4,Rosario Central,Argentinos Juniors,1,0,False,,
1/3/1998,1997-1998 Clausura,,4,Boca Juniors,Vélez Sarsfield,2,3,False,,
1/3/1998,1997-1998 Clausura,,4,Platense,Newell's Old Boys,2,1,False,,
1/3/1998,1997-1998 Clausura,,4,Ferro Carril Oeste,Lanús,3,3,False,,
8/3/1998,1997-1998 Clausura,,5,San Lorenzo de Almagro,Boca Juniors,2,1,False,,
8/3/1998,1997-1998 Clausura,,5,Estudiantes (La Plata),Unión (Santa Fe),2,1,False,,
