date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
8/2/2002,2001-2002 Clausura,,1,Argentinos Juniors,Racing,2,2,False,,
9/2/2002,2001-2002 Clausura,,1,Colón (Santa Fe),Estudiantes (La Plata),3,0,False,,
9/2/2002,2001-2002 Clausura,,1,San Lorenzo de Almagro,Nueva Chicago,4,2,False,,
10/2/2002,2001-2002 Clausura,,1,Lanús,Rosario Central,0,0,False,,
10/2/2002,2001-2002 Clausura,,1,River Plate,Talleres (Córdoba),3,1,False,,
10/2/2002,2001-2002 Clausura,,1,Chacarita Juniors,Huracán,0,2,False,,
10/2/2002,2001-2002 Clausura,,1,Gimnasia y Esgrima (LP),Unión (Santa Fe),3,2,False,,
10/2/2002,2001-2002 Clausura,,1,Independiente,Vélez Sarsfield,0,3,False,,
10/2/2002,2001-2002 Clausura,,1,Newell's Old Boys,Banfield,0,3,False,,
10/2/2002,2001-2002 Clausura,,1,Belgrano (Córdoba),Boca Juniors,2,3,False,,
15/2/2002,2001-2002 Clausura,,2,Vélez Sarsfield,Newell's Old Boys,2,2,False,,
16/2/2002,2001-2002 Clausura,,2,Nueva Chicago,Colón (Santa Fe),1,0,False,,
16/2/2002,2001-2002 Clausura,,2,Banfield,Belgrano (Córdoba),0,1,False,,
16/2/2002,2001-2002 Clausura,,2,Unión (Santa Fe),Chacarita Juniors,2,2,False,,
17/2/2002,2001-2002 Clausura,,2,Talleres (Córdoba),Lanús,2,0,False,,
17/2/2002,2001-2002 Clausura,,2,Rosario Central,Argentinos Juniors,2,1,False,,
17/2/2002,2001-2002 Clausura,,2,Boca Juniors,San Lorenzo de Almagro,0,0,False,,
17/2/2002,2001-2002 Clausura,,2,Estudiantes (La Plata),Gimnasia y Esgrima (LP),3,2,False,,
17/2/2002,2001-2002 Clausura,,2,Racing,Independiente,1,2,False,,
17/2/2002,2001-2002 Clausura,,2,Huracán,River Plate,0,4,False,,
19/2/2002,2001-2002 Clausura,,3,Lanús,Huracán,2,0,False,,
19/2/2002,2001-2002 Clausura,,3,San Lorenzo de Almagro,Banfield,2,0,False,,
19/2/2002,2001-2002 Clausura,,3,Belgrano (Córdoba),Vélez Sarsfield,2,1,False,,
19/2/2002,2001-2002 Clausura,,3,River Plate,Unión (Santa Fe),6,0,False,,
19/2/2002,2001-2002 Clausura,,3,Colón (Santa Fe),Boca Juniors,1,3,False,,
19/2/2002,2001-2002 Clausura,,3,Newell's Old Boys,Independiente,3,2,False,,
19/2/2002,2001-2002 Clausura,,3,Gimnasia y Esgrima (LP),Nueva Chicago,2,0,False,,
