date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
3/8/2007,2007-2008 Apertura,,1,Colón (Santa Fe),Vélez Sarsfield,0,1,False,,
3/8/2007,2007-2008 Apertura,,1,Banfield,Estudiantes (La Plata),0,3,False,,
4/8/2007,2007-2008 Apertura,,1,Gimnasia y Esgrima (LP),Tigre,0,1,False,,
4/8/2007,2007-2008 Apertura,,1,Independiente,Lanús,5,3,False,,
4/8/2007,2007-2008 Apertura,,1,Argentinos Juniors,San Martín (San Juan),0,1,False,,
5/8/2007,2007-2008 Apertura,,1,Huracán,Arsenal,1,1,False,,
5/8/2007,2007-2008 Apertura,,1,Olimpo (Bahía Blanca),Racing,0,2,False,,
5/8/2007,2007-2008 Apertura,,1,Newell's Old Boys,San Lorenzo de Almagro,1,0,False,,
5/8/2007,2007-2008 Apertura,,1,Boca Juniors,Rosario Central,0,0,False,,
23/8/2007,2007-2008 Apertura,,1,Gimnasia y Esgrima (Jujuy),River Plate,2,2,False,,
10/8/2007,2007-2008 Apertura,,2,Arsenal,Colón (Santa Fe),2,0,False,,
10/8/2007,2007-2008 Apertura,,2,San Martín (San Juan),San Lorenzo de Almagro,1,2,False,,
11/8/2007,2007-2008 Apertura,,2,Racing,Banfield,0,1,False,,
11/8/2007,2007-2008 Apertura,,2,Vélez Sarsfield,Olimpo (Bahía Blanca),3,0,False,,
11/8/2007,2007-2008 Apertura,,2,Rosario Central,Gimnasia y Esgrima (LP),2,2,False,,
12/8/2007,2007-2008 Apertura,,2,Estudiantes (La Plata),Gimnasia y Esgrima (Jujuy),1,0,False,,
12/8/2007,2007-2008 Apertura,,2,Lanús,Huracán,1,1,False,,
12/8/2007,2007-2008 Apertura,,2,Tigre,Independiente,0,3,False,,
12/8/2007,2007-2008 Apertura,,2,Argentinos Juniors,Boca Juniors,3,2,False,,
5/9/2007,2007-2008 Apertura,,2,River Plate,Newell's Old Boys,3,1,False,,
17/8/2007,2007-2008 Apertura,,3,Gimnasia y Esgrima (LP),Argentinos Juniors,0,2,False,,
17/8/2007,2007-2008 Apertura,,3,Independiente,Rosario Central,1,0,False,,
18/8/2007,2007-2008 Apertura,,3,Huracán,Tigre,0,0,False,,
18/8/2007,2007-2008 Apertura,,3,Colón (Santa Fe),Lanús,2,1,False,,
18/8/2007,2007-2008 Apertura,,3,Olimpo (Bahía Blanca),Arsenal,1,0,False,,
18/8/2007,2007-2008 Apertura,,3,Banfield,Vélez Sarsfield,1,0,False,,
19/8/2007,2007-2008 Apertura,,3,Gimnasia y Esgrima (Jujuy),Racing,2,1,False,,
19/8/2007,2007-2008 Apertura,,3,Newell's Old Boys,Estudiantes (La Plata),2,1,False,,
19/8/2007,2007-2008 Apertura,,3,San Lorenzo de Almagro,River Plate,1,1,False,,
19/8/2007,2007-2008 Apertura,,3,Boca Juniors,San Martín (San Juan),1,0,False,,
24/8/2007,2007-2008 Apertura,,4,Tigre,Colón (Santa Fe),0,2,False,,
24/8/2007,2007-2008 Apertura,,4,Racing,Newell's Old Boys,2,0,False,,
25/8/2007,2007-2008 Apertura,,4,Arsenal,Banfield,0,4,False,,
25/8/2007,2007-2008 Apertura,,4,Rosario Central,Huracán,0,1,False,,
25/8/2007,2007-2008 Apertura,,4,Lanús,Olimpo (Bahía Blanca),2,1,False,,
25/8/2007,2007-2008 Apertura,,4,Argentinos Juniors,Independiente,0,1,False,,
25/8/2007,2007-2008 Apertura,,4,Estudiantes (La Plata),San Lorenzo de Almagro,1,1,False,,
26/8/2007,2007-2008 Apertura,,4,Vélez Sarsfield,Gimnasia y Esgrima (Jujuy),4,2,False,,
26/8/2007,2007-2008 Apertura,,4,San Martín (San Juan),River Plate,1,0,False,,
26/8/2007,2007-2008 Apertura,,4,Boca Juniors,Gimnasia y Esgrima (LP),2,1,False,,
28/8/2007,2007-2008 Apertura,,5,Banfield,Lanús,1,2,False,,
28/8/2007,2007-2008 Apertura,,5,Colón (Santa Fe),Rosario Central,2,0,False,,
28/8/2007,2007-2008 Apertura,,5,Olimpo (Bahía Blanca),Tigre,0,1,False,,
28/8/2007,2007-2008 Apertura,,5,San Lorenzo de Almagro,Racing,4,3,False,,
29/8/2007,2007-2008 Apertura,,5,Gimnasia y Esgrima (LP),San Martín (San Juan),2,0,False,,
29/8/2007,2007-2008 Apertura,,5,Independiente,Boca Juniors,2,3,False,,
29/8/2007,2007-2008 Apertura,,5,Huracán,Argentinos Juniors,3,2,False,,
29/8/2007,2007-2008 Apertura,,5,Gimnasia y Esgrima (Jujuy),Arsenal,1,0,False,,
29/8/2007,2007-2008 Apertura,,5,Newell's Old Boys,Vélez Sarsfield,2,0,False,,
29/8/2007,2007-2008 Apertura,,5,River Plate,Estudiantes (La Plata),4,2,False,,
31/8/2007,2007-2008 Apertura,,6,Tigre,Banfield,1,0,False,,
31/8/2007,2007-2008 Apertura,,6,Rosario Central,Olimpo (Bahía Blanca),1,1,False,,
1/9/2007,2007-2008 Apertura,,6,Lanús,Gimnasia y Esgrima (Jujuy),2,0,False,,
1/9/2007,2007-2008 Apertura,,6,Argentinos Juniors,Colón (Santa Fe),2,1,False,,
1/9/2007,2007-2008 Apertura,,6,Arsenal,Newell's Old Boys,1,0,False,,
1/9/2007,2007-2008 Apertura,,6,Gimnasia y Esgrima (LP),Independiente,1,0,False,,
2/9/2007,2007-2008 Apertura,,6,Racing,River Plate,1,1,False,,
2/9/2007,2007-2008 Apertura,,6,Vélez Sarsfield,San Lorenzo de Almagro,2,0,False,,
2/9/2007,2007-2008 Apertura,,6,San Martín (San Juan),Estudiantes (La Plata),1,0,False,,
2/9/2007,2007-2008 Apertura,,6,Boca Juniors,Huracán,1,0,False,,
7/9/2007,2007-2008 Apertura,,7,Olimpo (Bahía Blanca),Argentinos Juniors,1,1,False,,
7/9/2007,2007-2008 Apertura,,7,Banfield,Rosario Central,3,2,False,,
7/9/2007,2007-2008 Apertura,,7,Gimnasia y Esgrima (Jujuy),Tigre,0,2,False,,
8/9/2007,2007-2008 Apertura,,7,Independiente,San Martín (San Juan),2,2,False,,
8/9/2007,2007-2008 Apertura,,7,Huracán,Gimnasia y Esgrima (LP),0,1,False,,
8/9/2007,2007-2008 Apertura,,7,Newell's Old Boys,Lanús,0,0,False,,
9/9/2007,2007-2008 Apertura,,7,Estudiantes (La Plata),Racing,2,1,False,,
9/9/2007,2007-2008 Apertura,,7,Colón (Santa Fe),Boca Juniors,1,0,False,,
9/9/2007,2007-2008 Apertura,,7,San Lorenzo de Almagro,Arsenal,2,4,False,,
9/9/2007,2007-2008 Apertura,,7,River Plate,Vélez Sarsfield,5,0,False,,
11/9/2007,2007-2008 Apertura,,8,Tigre,Newell's Old Boys,2,2,False,,
11/9/2007,2007-2008 Apertura,,8,Rosario Central,Gimnasia y Esgrima (Jujuy),1,1,False,,
11/9/2007,2007-2008 Apertura,,8,Argentinos Juniors,Banfield,2,0,False,,
11/9/2007,2007-2008 Apertura,,8,Independiente,Huracán,3,0,False,,
12/9/2007,2007-2008 Apertura,,8,Vélez Sarsfield,Estudiantes (La Plata),1,0,False,,
12/9/2007,2007-2008 Apertura,,8,Arsenal,River Plate,2,1,False,,
12/9/2007,2007-2008 Apertura,,8,San Martín (San Juan),Racing,0,2,False,,
12/9/2007,2007-2008 Apertura,,8,Lanús,San Lorenzo de Almagro,4,3,False,,
12/9/2007,2007-2008 Apertura,,8,Boca Juniors,Olimpo (Bahía Blanca),2,0,False,,
12/10/2007,2007-2008 Apertura,,8,Gimnasia y Esgrima (LP),Colón (Santa Fe),2,0,False,,
15/9/2007,2007-2008 Apertura,,9,Gimnasia y Esgrima (Jujuy),Argentinos Juniors,1,1,False,,
15/9/2007,2007-2008 Apertura,,9,Colón (Santa Fe),Independiente,1,3,False,,
15/9/2007,2007-2008 Apertura,,9,Olimpo (Bahía Blanca),Gimnasia y Esgrima (LP),0,0,False,,
15/9/2007,2007-2008 Apertura,,9,Estudiantes (La Plata),Arsenal,1,1,False,,
15/9/2007,2007-2008 Apertura,,9,Huracán,San Martín (San Juan),2,1,False,,
15/9/2007,2007-2008 Apertura,,9,Racing,Vélez Sarsfield,1,0,False,,
16/9/2007,2007-2008 Apertura,,9,Banfield,Boca Juniors,0,6,False,,
16/9/2007,2007-2008 Apertura,,9,Newell's Old Boys,Rosario Central,0,1,False,,
16/9/2007,2007-2008 Apertura,,9,San Lorenzo de Almagro,Tigre,2,1,False,,
16/9/2007,2007-2008 Apertura,,9,River Plate,Lanús,3,1,False,,
21/9/2007,2007-2008 Apertura,,10,Huracán,Colón (Santa Fe),2,2,False,,
21/9/2007,2007-2008 Apertura,,10,Rosario Central,San Lorenzo de Almagro,1,3,False,,
22/9/2007,2007-2008 Apertura,,10,Gimnasia y Esgrima (LP),Banfield,0,1,False,,
22/9/2007,2007-2008 Apertura,,10,San Martín (San Juan),Vélez Sarsfield,3,2,False,,
22/9/2007,2007-2008 Apertura,,10,Argentinos Juniors,Newell's Old Boys,4,0,False,,
22/9/2007,2007-2008 Apertura,,10,Independiente,Olimpo (Bahía Blanca),3,0,False,,
23/9/2007,2007-2008 Apertura,,10,Arsenal,Racing,0,1,False,,
23/9/2007,2007-2008 Apertura,,10,Lanús,Estudiantes (La Plata),1,0,False,,
23/9/2007,2007-2008 Apertura,,10,Tigre,River Plate,4,1,False,,
23/9/2007,2007-2008 Apertura,,10,Boca Juniors,Gimnasia y Esgrima (Jujuy),2,2,False,,
28/9/2007,2007-2008 Apertura,,11,Olimpo (Bahía Blanca),Huracán,3,1,False,,
28/9/2007,2007-2008 Apertura,,11,Estudiantes (La Plata),Tigre,2,2,False,,
29/9/2007,2007-2008 Apertura,,11,Colón (Santa Fe),San Martín (San Juan),1,1,False,,
29/9/2007,2007-2008 Apertura,,11,Gimnasia y Esgrima (Jujuy),Gimnasia y Esgrima (LP),4,0,False,,
29/9/2007,2007-2008 Apertura,,11,Vélez Sarsfield,Arsenal,0,0,False,,
29/9/2007,2007-2008 Apertura,,11,Banfield,Independiente,2,0,False,,
30/9/2007,2007-2008 Apertura,,11,Racing,Lanús,1,1,False,,
30/9/2007,2007-2008 Apertura,,11,Newell's Old Boys,Boca Juniors,1,0,False,,
30/9/2007,2007-2008 Apertura,,11,San Lorenzo de Almagro,Argentinos Juniors,2,1,False,,
30/9/2007,2007-2008 Apertura,,11,River Plate,Rosario Central,3,3,False,,
2/10/2007,2007-2008 Apertura,,12,Independiente,Gimnasia y Esgrima (Jujuy),3,0,False,,
2/10/2007,2007-2008 Apertura,,12,Huracán,Banfield,1,0,False,,
2/10/2007,2007-2008 Apertura,,12,Colón (Santa Fe),Olimpo (Bahía Blanca),3,0,False,,
3/10/2007,2007-2008 Apertura,,12,San Martín (San Juan),Arsenal,1,1,False,,
3/10/2007,2007-2008 Apertura,,12,Lanús,Vélez Sarsfield,2,1,False,,
3/10/2007,2007-2008 Apertura,,12,Tigre,Racing,3,2,False,,
3/10/2007,2007-2008 Apertura,,12,Rosario Central,Estudiantes (La Plata),2,2,False,,
3/10/2007,2007-2008 Apertura,,12,Argentinos Juniors,River Plate,4,1,False,,
3/10/2007,2007-2008 Apertura,,12,Boca Juniors,San Lorenzo de Almagro,2,0,False,,
26/10/2007,2007-2008 Apertura,,12,Gimnasia y Esgrima (LP),Newell's Old Boys,2,0,False,,
5/10/2007,2007-2008 Apertura,,13,Gimnasia y Esgrima (Jujuy),Huracán,2,0,False,,
5/10/2007,2007-2008 Apertura,,13,Banfield,Colón (Santa Fe),3,1,False,,
6/10/2007,2007-2008 Apertura,,13,Olimpo (Bahía Blanca),San Martín (San Juan),2,1,False,,
6/10/2007,2007-2008 Apertura,,13,Racing,Rosario Central,2,2,False,,
6/10/2007,2007-2008 Apertura,,13,Vélez Sarsfield,Tigre,1,1,False,,
6/10/2007,2007-2008 Apertura,,13,San Lorenzo de Almagro,Gimnasia y Esgrima (LP),1,1,False,,
7/10/2007,2007-2008 Apertura,,13,Estudiantes (La Plata),Argentinos Juniors,3,0,False,,
7/10/2007,2007-2008 Apertura,,13,Arsenal,Lanús,0,1,False,,
7/10/2007,2007-2008 Apertura,,13,Newell's Old Boys,Independiente,2,1,False,,
7/10/2007,2007-2008 Apertura,,13,River Plate,Boca Juniors,2,0,False,,
19/10/2007,2007-2008 Apertura,,14,Lanús,San Martín (San Juan),2,0,False,,
19/10/2007,2007-2008 Apertura,,14,Tigre,Arsenal,2,0,False,,
20/10/2007,2007-2008 Apertura,,14,Colón (Santa Fe),Gimnasia y Esgrima (Jujuy),0,1,False,,
20/10/2007,2007-2008 Apertura,,14,Olimpo (Bahía Blanca),Banfield,1,1,False,,
20/10/2007,2007-2008 Apertura,,14,Rosario Central,Vélez Sarsfield,0,2,False,,
20/10/2007,2007-2008 Apertura,,14,Argentinos Juniors,Racing,1,0,False,,
21/10/2007,2007-2008 Apertura,,14,Gimnasia y Esgrima (LP),River Plate,0,2,False,,
21/10/2007,2007-2008 Apertura,,14,Independiente,San Lorenzo de Almagro,1,2,False,,
21/10/2007,2007-2008 Apertura,,14,Huracán,Newell's Old Boys,3,1,False,,
21/10/2007,2007-2008 Apertura,,14,Boca Juniors,Estudiantes (La Plata),1,1,False,,
2/11/2007,2007-2008 Apertura,,15,Arsenal,Rosario Central,1,0,False,,
2/11/2007,2007-2008 Apertura,,15,San Martín (San Juan),Banfield,0,1,False,,
3/11/2007,2007-2008 Apertura,,15,Racing,Boca Juniors,0,3,False,,
3/11/2007,2007-2008 Apertura,,15,Gimnasia y Esgrima (Jujuy),Olimpo (Bahía Blanca),0,3,False,,
3/11/2007,2007-2008 Apertura,,15,Newell's Old Boys,Colón (Santa Fe),1,1,False,,
4/11/2007,2007-2008 Apertura,,15,Estudiantes (La Plata),Gimnasia y Esgrima (LP),1,0,False,,
4/11/2007,2007-2008 Apertura,,15,Lanús,Tigre,2,1,False,,
4/11/2007,2007-2008 Apertura,,15,San Lorenzo de Almagro,Huracán,1,1,False,,
4/11/2007,2007-2008 Apertura,,15,River Plate,Independiente,1,1,False,,
5/11/2007,2007-2008 Apertura,,15,Vélez Sarsfield,Argentinos Juniors,3,0,False,,
9/11/2007,2007-2008 Apertura,,16,Gimnasia y Esgrima (LP),Racing,1,3,False,,
9/11/2007,2007-2008 Apertura,,16,Rosario Central,Lanús,1,4,False,,
10/11/2007,2007-2008 Apertura,,16,Huracán,River Plate,2,1,False,,
10/11/2007,2007-2008 Apertura,,16,Colón (Santa Fe),San Lorenzo de Almagro,0,0,False,,
10/11/2007,2007-2008 Apertura,,16,Olimpo (Bahía Blanca),Newell's Old Boys,1,0,False,,
10/11/2007,2007-2008 Apertura,,16,Banfield,Gimnasia y Esgrima (Jujuy),1,1,False,,
11/11/2007,2007-2008 Apertura,,16,Independiente,Estudiantes (La Plata),1,2,False,,
11/11/2007,2007-2008 Apertura,,16,Tigre,San Martín (San Juan),3,0,False,,
11/11/2007,2007-2008 Apertura,,16,Argentinos Juniors,Arsenal,4,0,False,,
11/11/2007,2007-2008 Apertura,,16,Boca Juniors,Vélez Sarsfield,4,0,False,,
23/11/2007,2007-2008 Apertura,,17,Tigre,Rosario Central,2,1,False,,
23/11/2007,2007-2008 Apertura,,17,San Lorenzo de Almagro,Olimpo (Bahía Blanca),1,0,False,,
24/11/2007,2007-2008 Apertura,,17,Racing,Independiente,0,0,False,,
24/11/2007,2007-2008 Apertura,,17,Vélez Sarsfield,Gimnasia y Esgrima (LP),3,1,False,,
24/11/2007,2007-2008 Apertura,,17,San Martín (San Juan),Gimnasia y Esgrima (Jujuy),3,2,False,,
24/11/2007,2007-2008 Apertura,,17,Newell's Old Boys,Banfield,1,0,False,,
24/11/2007,2007-2008 Apertura,,17,River Plate,Colón (Santa Fe),0,2,False,,
25/11/2007,2007-2008 Apertura,,17,Estudiantes (La Plata),Huracán,1,1,False,,
25/11/2007,2007-2008 Apertura,,17,Arsenal,Boca Juniors,2,1,False,,
25/11/2007,2007-2008 Apertura,,17,Lanús,Argentinos Juniors,0,0,False,,
30/11/2007,2007-2008 Apertura,,18,Colón (Santa Fe),Estudiantes (La Plata),0,2,False,,
30/11/2007,2007-2008 Apertura,,18,Rosario Central,San Martín (San Juan),3,2,False,,
1/12/2007,2007-2008 Apertura,,18,Huracán,Racing,3,0,False,,
