date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
8/2/2013,2012-2013 Final,,1,Argentinos Juniors,Vélez Sarsfield,0,1,False,,
8/2/2013,2012-2013 Final,,1,Unión (Santa Fe),Arsenal,1,1,False,,
9/2/2013,2012-2013 Final,,1,All Boys,Godoy Cruz Antonio Tomba,1,1,False,,
9/2/2013,2012-2013 Final,,1,Boca Juniors,Quilmes,3,2,False,,
9/2/2013,2012-2013 Final,,1,Estudiantes (La Plata),Tigre,1,3,False,,
9/2/2013,2012-2013 Final,,1,San Martín (San Juan),San Lorenzo de Almagro,0,0,False,,
10/2/2013,2012-2013 Final,,1,Atlético Rafaela,Racing,3,0,False,,
10/2/2013,2012-2013 Final,,1,Belgrano (Córdoba),River Plate,1,2,False,,
10/2/2013,2012-2013 Final,,1,Independiente,Newell's Old Boys,1,3,False,,
11/2/2013,2012-2013 Final,,1,Lanús,Colón (Santa Fe),4,0,False,,
15/2/2013,2012-2013 Final,,2,Racing,Argentinos Juniors,2,0,False,,
16/2/2013,2012-2013 Final,,2,Colón (Santa Fe),San Martín (San Juan),1,1,False,,
16/2/2013,2012-2013 Final,,2,Godoy Cruz Antonio Tomba,Unión (Santa Fe),2,1,False,,
16/2/2013,2012-2013 Final,,2,San Lorenzo de Almagro,Belgrano (Córdoba),0,0,False,,
16/2/2013,2012-2013 Final,,2,Vélez Sarsfield,Independiente,0,1,False,,
17/2/2013,2012-2013 Final,,2,Newell's Old Boys,Lanús,0,3,False,,
17/2/2013,2012-2013 Final,,2,Quilmes,All Boys,2,1,False,,
17/2/2013,2012-2013 Final,,2,River Plate,Estudiantes (La Plata),1,0,False,,
17/2/2013,2012-2013 Final,,2,Tigre,Boca Juniors,0,0,False,,
18/2/2013,2012-2013 Final,,2,Arsenal,Atlético Rafaela,0,0,False,,
22/2/2013,2012-2013 Final,,3,Argentinos Juniors,Arsenal,1,2,False,,
22/2/2013,2012-2013 Final,,3,Estudiantes (La Plata),San Lorenzo de Almagro,1,1,False,,
23/2/2013,2012-2013 Final,,3,All Boys,Boca Juniors,2,0,False,,
23/2/2013,2012-2013 Final,,3,Lanús,Vélez Sarsfield,1,0,False,,
23/2/2013,2012-2013 Final,,3,Unión (Santa Fe),Quilmes,0,3,False,,
24/2/2013,2012-2013 Final,,3,Atlético Rafaela,Godoy Cruz Antonio Tomba,1,2,False,,
24/2/2013,2012-2013 Final,,3,Belgrano (Córdoba),Colón (Santa Fe),2,1,False,,
